"","AbsoluteUniqueVisitors","Visits","FBReferrals","PubExplorerReferrals","TotalInteractions","FBLikes","FBUnlikes","XmasMenuDownloads","MenuDownloads","GooglePlacesReferrals","LunchMenuDownloads","DiningMenuDownloads","MainMenuDownloads","timeOnSite","likeRate"
"www.sendster.co.uk","185","223","1","0","0","0","0","0","0","0","0","0","0","15907","0"
"www.localmarketer.co.uk","13","13","0","0","0","0","0","0","0","0","0","0","0","42","0"
"www.olivebranchhorsham.co.uk/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"www.olivebranchhorsham.co.uk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"monmouthash.co.uk","327","370","1","0","170","3","0","0","160","0","0","0","139","22979","0.00810810810810811"
"oldinnwidecombeinthemoor.co.uk","796","914","4","0","297","6","1","0","267","0","0","0","249","68026","0.00656455142231947"
"osborneviewhillhead.co.uk/","2263","2692","36","0","950","9","0","0","896","0","0","0","854","224677","0.00334323922734027"
"starewell.co.uk","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"wheatsheaflowerwoodford.co.uk","1592","1940","12","1","610","3","1","0","590","0","0","0","525","158912","0.00154639175257732"
"halfmoonshaftsbury.co.uk","601","727","1","0","272","5","0","0","262","0","0","0","243","67742","0.00687757909215956"
"newqueenavon.co.uk/","723","872","4","0","328","4","0","0","304","0","0","0","45","78625","0.00458715596330275"
"housemartinnewmilton.co.uk","629","737","0","0","241","1","0","0","240","0","0","0","226","49096","0.00135685210312076"
"theworldsendtaunton.co.uk","1113","1296","14","0","492","4","0","0","470","0","0","0","426","84780","0.00308641975308642"
"theangellongham.co.uk","1052","1256","0","1","536","2","0","0","501","0","0","0","480","93082","0.00159235668789809"
"thebarnowl.co.uk","1400","1628","55","0","803","5","0","0","749","0","0","0","622","153165","0.00307125307125307"
"worldsendpatching.co.uk","1105","1296","4","0","562","0","0","0","527","0","0","0","429","154429","0"
"thegrasshopperparkstone.co.uk","825","970","8","0","336","1","0","0","333","0","0","0","307","61931","0.00103092783505155"
"thehangletonmanor.co.uk","1353","1654","8","0","556","4","0","0","527","0","0","0","494","108765","0.00241837968561064"
"theolivebranchwimborne.co.uk","1130","1328","1","0","719","4","0","0","678","0","0","405","0","105000","0.00301204819277108"
"theness.co.uk","2545","3080","8","0","1048","10","0","0","1016","0","0","649","0","282158","0.00324675324675325"
"sevenstarsstroud.co.uk","1284","1500","2","0","618","7","0","0","570","0","0","0","508","138605","0.00466666666666667"
"blackswanpeasepottage.co.uk","874","996","3","0","381","0","0","0","366","0","0","0","341","55860","0"
"thegoffsmanor.co.uk","1107","1324","23","0","440","3","0","0","436","0","0","0","411","92472","0.00226586102719033"
"wightmouse.co.uk","1591","1881","6","0","489","0","0","0","452","0","0","0","424","135198","0"
"yachtsmanhamworthy.co.uk","462","550","2","0","187","2","0","0","175","0","0","0","160","36445","0.00363636363636364"
"thehornbrook.co.uk","818","969","5","0","433","6","1","0","423","0","0","0","401","65452","0.00619195046439629"
"stpetersfinger.co.uk","1062","1311","11","0","589","4","0","0","543","0","0","0","508","111893","0.0030511060259344"
"worldsendalmer.co.uk","1820","2132","2","0","591","6","0","0","560","0","0","0","531","135471","0.00281425891181989"
"thehalfwayinnwareham.co.uk.","617","780","8","1","363","2","0","0","340","0","0","0","102","64227","0.00256410256410256"
"smugglersinnosmingtonmills.co.uk","4328","5160","23","2","1237","20","1","0","1196","0","0","0","1004","440554","0.00387596899224806"
"crownhotelblandford.co.uk","1300","1556","5","0","373","5","0","0","304","0","0","161","0","171114","0.0032133676092545"
"theoldgranarywareham.co.uk","1689","1918","2","0","955","8","1","0","915","0","0","582","0","210049","0.00417101147028154"
"shipwool.co.uk","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"empressofblandings.co.uk","1098","1312","3","0","584","0","0","0","563","0","0","0","500","117108","0"
"jekyllhydeturgisgreen.co.uk","1114","1294","2","0","542","3","0","0","510","0","0","0","440","81062","0.00231839258114374"
"jollysailoroldbursledon.co.uk","2669","3190","20","0","1342","9","0","0","1267","0","0","892","0","303341","0.00282131661442006"
"portsmoutharmshatchwarren.co.uk","921","1112","4","0","518","2","0","0","515","0","0","0","309","96161","0.00179856115107914"
"talismanparkgate.co.uk","800","934","2","0","443","6","0","0","435","0","0","0","384","95342","0.00642398286937901"
"wellingtonstratfieldturgis.co.uk","1413","1783","2","0","577","5","0","0","468","0","0","304","0","119352","0.00280426247896803"
"dehavillandarms.co.uk","483","566","0","0","247","1","0","0","222","0","0","0","198","40136","0.00176678445229682"
"blackhorsehookwood.co.uk","691","821","4","0","316","1","0","0","315","0","0","0","299","47426","0.00121802679658952"
"theblackhorseiverheath.co.uk","907","1092","1","0","446","9","0","0","433","0","0","0","381","64305","0.00824175824175824"
"peacockfarm.co.uk","2687","3253","23","0","1402","6","0","0","1354","0","0","0","1132","277811","0.00184445127574547"
