"","about","category","id","likes","name","picture","talking_about_count","username"
"infoDataTemp","Whether you are looking to have a few quiet drinks with friends or colleagues, celebrate a special occassion or simply a bite to eat, Party at the Pub can help! Check out partyatthepub.co.uk for all our bars, events, promotions & to book a party now!","Website","125759927438004","4196","Party at the Pub","http://profile.ak.fbcdn.net/hprofile-ak-ash2/373042_125759927438004_1460392605_s.jpg","71","partyatthepub"
"infoDataTemp",NA,"Bar","117514205009904","469","The Abacus Scunthorpe","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373019_117514205009904_1706576992_s.jpg","43",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp","The Abbey is Liverpool's loveliest bar - club - restaurant. Come down to Hanover Street, L1 3DZ, and see what all the fuss is about!","Bar","214007299724","918","The Abbey Liverpool","http://profile.ak.fbcdn.net/hprofile-ak-snc4/277055_214007299724_883428372_s.jpg","54",NA
"infoDataTemp","Nuneaton's number 1 venue.....","Bar","203454699671996","468","The Abbey - Nuneaton","http://profile.ak.fbcdn.net/hprofile-ak-ash2/174861_203454699671996_221902434_s.jpg","15","abbeynuneaton"
"infoDataTemp",NA,NA,"594142139","0","Academybar Cannock",NA,"0","academybar"
"infoDataTemp",NA,"Bar","68297476655","2697","The Academy Preston","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373048_68297476655_1373196832_s.jpg","29","Academy.Preston"
"infoDataTemp","Welcome to our fb page. The Academy is Uttoxeter's number one bar for a relaxing meal and drink or the place to party at the weekend. All major sporting events are shown on the biggest screens. For more info contact our team on 01889 568570","Bar","236612136402","526","Academy Uttoxeter","http://profile.ak.fbcdn.net/hprofile-ak-snc4/174884_236612136402_7027240_s.jpg","2",NA
"infoDataTemp","This stunning city style bar has something for everyone; an eclectic mix of new and old.The Alchemist is open from early morning through till late & the menu reflects traditional British cuisine with a few twists which will surprise and delight.","Bar","101450393256433","278","The Alchemist","http://profile.ak.fbcdn.net/hprofile-ak-snc4/372789_101450393256433_1184439731_s.jpg","37","Alchemist.Houndsditch"
"infoDataTemp","Check out one of Manchesters newest bars. Drink, eat, watch sport, dance the night away... we have it all!!","Bar","121648367893459","820","The Alibi Manchester","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276492_121648367893459_1994267_s.jpg","55","TheAlibiManchester"
"infoDataTemp","Derby's Newest Bar on Friar Gate but with a twist","Bar","125528727526892","376","Almanac, Derby","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373224_125528727526892_1902653130_s.jpg","9",NA
"infoDataTemp",NA,"Community","154070864610764","598","Anderton Northwich","http://profile.ak.fbcdn.net/hprofile-ak-ash2/41597_154070864610764_1757_s.jpg","0",NA
"infoDataTemp",NA,"Bar","212475182159213","22","Anglers Rest - Sheffield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/261079_212475182159213_1581673238_s.jpg","0",NA
"infoDataTemp",NA,"Bar","244165755594378","68","The Assembly, Bedminster","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276407_244165755594378_6093234_s.jpg","1",NA
"infoDataTemp",NA,"Bar","105958794224","297","The Aviator","http://profile.ak.fbcdn.net/hprofile-ak-snc4/50555_105958794224_412250_s.jpg","17",NA
"infoDataTemp",NA,"Bar","184389271602334","847","The Barbican, Scarborough","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373354_184389271602334_1901277789_s.jpg","38","thebarbican.scarborough"
"infoDataTemp","Get an amazing party deal at Barracuda! 2-4-1 on Corona & WKD, FREE shots & buffets for bookings of 10 or more!! Awesome...click here & we'll be in touch...http://bit.ly/bYiHuw","Bar","32894015629","5136","Barracuda Hull","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373017_32894015629_169299217_s.jpg","61","barracuda.hull"
